state,year,month,precipitation
CA,2000,01,22.839,,,
CA,2001,01,4.222,,,
CA,2002,01,2.769,,,
CA,2003,01,6.973,,,
CA,2004,01,8.537,,,
CA,2005,01,21.349,,,
CA,2006,01,3.401,,,
CA,2007,01,8.15,,,
CA,2008,01,28.939,,,
CA,2009,01,20.216,,,
CA,2010,01,17.976,,,
CA,2011,01,5.626,,,
CA,2012,01,14.245,,,
CA,2013,01,6.848,,,
CA,2014,01,12.683,,,
CA,2015,01,21.174,,,
CA,2016,01,8.506,,,
CA,2017,01,10.804,,,
CA,2018,01,9.425,,,
CA,2019,01,20.95,,,
CA,2020,01,15.179,,,
CA,2021,01,16.435,,,
CA,2022,01,13.88,,,
