state,year,SOYBEANS
ALABAMA,2022,41.0
ARKANSAS,2022,52.0
DELAWARE,2022,43.0
GEORGIA,2022,41.0
ILLINOIS,2022,63.0
INDIANA,2022,57.5
IOWA,2022,58.5
KANSAS,2022,27.5
KENTUCKY,2022,51.0
LOUISIANA,2022,47.0
MARYLAND,2022,43.0
MICHIGAN,2022,47.0
MINNESOTA,2022,50.0
MISSISSIPPI,2022,54.0
MISSOURI,2022,45.5
NEBRASKA,2022,49.0
NEW JERSEY,2022,28.0
NEW YORK,2022,45.0
NORTH CAROLINA,2022,38.5
NORTH DAKOTA,2022,35.0
OHIO,2022,55.5
OKLAHOMA,2022,17.0
PENNSYLVANIA,2022,43.0
SOUTH CAROLINA,2022,37.0
SOUTH DAKOTA,2022,38.0
TENNESSEE,2022,48.0
TEXAS,2022,20.0
VIRGINIA,2022,41.0
WISCONSIN,2022,54.0
